Scenario,Strat1,Strat2,Strat3,t,DV,ObsName
,0,0,0,24,9.27663,CObs
,0,0,0,36,8.45984,CObs
,0,0,0,48,6.236,CObs
,0,0,0,72,4.0345,CObs
,0,0,0,96,3.44489,CObs
,0,0,0,120,3.33607,CObs
,0,0,0,24,9.28197,CObs
,0,0,0,36,7.13242,CObs
,0,0,0,48,4.4616,CObs
,0,0,0,72,2.67096,CObs
,0,0,0,96,1.6314,CObs
,0,0,0,120,0.562588,CObs
,0,0,0,24,8.55748,CObs
,0,0,0,36,7.98032,CObs
,0,0,0,48,6.72953,CObs
,0,0,0,72,4.28595,CObs
,0,0,0,96,3.54907,CObs
,0,0,0,120,2.2568,CObs
,0,0,0,24,9.02734,CObs
,0,0,0,36,6.46654,CObs
,0,0,0,48,6.1932,CObs
,0,0,0,72,5.02397,CObs
,0,0,0,96,4.56002,CObs
,0,0,0,120,3.24524,CObs
,0,0,0,24,10.169,CObs
,0,0,0,36,8.83861,CObs
,0,0,0,48,7.03042,CObs
,0,0,0,72,5.52197,CObs
,0,0,0,96,3.28621,CObs
,0,0,0,120,2.73,CObs
,0,0,0,24,11.2439,CObs
,0,0,0,36,10.359,CObs
,0,0,0,48,6.57015,CObs
,0,0,0,72,4.98574,CObs
,0,0,0,96,3.8412,CObs
,0,0,0,120,2.62731,CObs
,0,0,0,24,11.5681,CObs
,0,0,0,36,9.60487,CObs
,0,0,0,48,8.5618,CObs
,0,0,0,72,5.92856,CObs
,0,0,0,96,5.46626,CObs
,0,0,0,120,3.13641,CObs
,0,0,0,24,9.37106,CObs
,0,0,0,36,7.15168,CObs
,0,0,0,48,4.56754,CObs
,0,0,0,72,3.7209,CObs
,0,0,0,96,2.02344,CObs
,0,0,0,120,1.15591,CObs
,0,0,0,24,10.6389,CObs
,0,0,0,36,8.71161,CObs
,0,0,0,48,6.76719,CObs
,0,0,0,72,4.64726,CObs
,0,0,0,96,2.7389,CObs
,0,0,0,120,0.816428,CObs
,0,0,0,24,7.422,CObs
,0,0,0,36,7.69084,CObs
,0,0,0,48,7.2603,CObs
,0,0,0,72,5.0274,CObs
,0,0,0,96,4.8252,CObs
,0,0,0,120,3.6167,CObs
,0,0,0,24,7.32029,CObs
,0,0,0,36,7.47182,CObs
,0,0,0,48,6.82824,CObs
,0,0,0,72,5.43805,CObs
,0,0,0,96,3.36859,CObs
,0,0,0,120,3.09143,CObs
,0,0,0,24,7.7052,CObs
,0,0,0,36,7.37553,CObs
,0,0,0,48,4.95074,CObs
,0,0,0,72,2.85356,CObs
,0,0,0,96,1.91013,CObs
,0,0,0,120,0.790209,CObs
,0,0,0,24,9.62322,CObs
,0,0,0,36,8.81997,CObs
,0,0,0,48,8.29222,CObs
,0,0,0,72,6.2099,CObs
,0,0,0,96,5.6711,CObs
,0,0,0,120,3.5036,CObs
,0,0,0,24,9.7695,CObs
,0,0,0,36,10.1359,CObs
,0,0,0,48,7.41716,CObs
,0,0,0,72,4.8809,CObs
,0,0,0,96,3.83653,CObs
,0,0,0,120,2.02274,CObs
