"grp","x","cens","y","cov","ty","PRED","ModelName"
5,72,0,0.300232259380722,1,0.300232259380722,24.842,"a.Misspecified delay
 Immediate effect"
6,96,0,0.827418320704382,1,0.827418320704382,25.8687,"a.Misspecified delay
 Immediate effect"
7,120,0,1.39174377939633,1,1.39174377939633,27.2962,"a.Misspecified delay
 Immediate effect"
8,144,0,1.69539771027214,1,1.69539771027214,29.2527,"a.Misspecified delay
 Immediate effect"
1,0,0,-0.553384719555673,1,-0.553384719555673,96.1597,"a.Misspecified delay
 Immediate effect"
2,24,0,2.05374891063182,1,2.05374891063182,23.6573,"a.Misspecified delay
 Immediate effect"
3,36,0,-0.214701568001745,1,-0.214701568001745,23.9482,"a.Misspecified delay
 Immediate effect"
4,48,0,-0.470496967904941,1,-0.470496967904941,24.3043,"a.Misspecified delay
 Immediate effect"
5,72,0,-0.00501327754892666,1,-0.00501327754892666,25.2695,"a.Misspecified delay
 Immediate effect"
6,96,0,-0.153505060378057,1,-0.153505060378057,26.6929,"a.Misspecified delay
 Immediate effect"
7,120,0,0.778965564347545,1,0.778965564347545,28.7576,"a.Misspecified delay
 Immediate effect"
